character,definition,pronounciation
我,I ; me,wǒ
的,possessive p.,de
你,you,nǐ
是,to be; is,shì
了,completed action p.,le
不,no; not,bù
们,plural p.,men
这,this,zhè
一,one; a,yī
他,he; him,tā
么,interrogative p.,me
在,at,zài
有,to have; there is,yǒu
个,general measure word,gè
好,good; well,hǎo
来,to come,lái
人,man; person,rén
那,that,nà
要,to want; important,yào
会,can; will; to know,huì
就,then; just (emp.),jiù
什,what,shén
没,not,méi
到,to arrive; until (time),dào
说,to speak,shuō
吗,question p.,ma
为,because of; for,wèi
想,to think; to want,xiǎng
能,to be able to,néng
上,above; top,shàng
去,to go,qù
道,way; method,dào
她,she,tā
很,very,hěn
看,to see; to look at,kàn
可,can; able to,kě
知,to know,zhī
得,complement p. (V + 得 + Adverb),de
过,experienced action p.,guo
吧,…right?,ba
还,still; yet; to return,hái
对,correct; opposite,duì
里,inside,lǐ
以,according to; by,yǐ
都,all; both,dōu
事,thing; item,shì
子,child,zǐ
生,life; raw,shēng
时,time,shí
样,manner,yàng
也,also; too,yě
和,and,hé
下,below; down,xià
真,really; truly,zhēn
现,present,xiàn
做,to do,zuò
大,big,dà
啊,ah!,a
怎,how,zěn
出,to go out,chū
点,a dot; o'clock,diǎn
起,to rise,qǐ
天,day; heaven,tiān
把,direct object p.; to hold,bǎ
开,to open; to start,kāi
让,to allow; passive p.,ràng
给,to give; for; passive p.,gěi
但,but; yet,dàn
谢,to thank,xiè
着,action in progress p.,zhe
只,only,zhǐ
些,some; few,xiē
如,as; as if,rú
家,home; family,jiā
后,behind; after,hòu
儿,son,ér
多,many; much,duō
意,idea; meaning,yì
别,must not; other,bié
所,actually; place,suǒ
话,language; talk,huà
小,small,xiǎo
自,self,zì
回,to answer; to return,huí
然,correct,rán
果,fruit,guǒ
发,to send; to develop,fā
见,to see; to meet,jiàn
心,heart,xīn
走,to walk; away,zǒu
定,to set,dìng
听,to listen,tīng
觉,to feel,jué
太,too (much),tài
该,should,gāi
当,to be; just at,dāng
经,pass through,jīng
妈,mum,mā
用,to use,yòng
打,to hit,dǎ
地,-ly structural p.,de
再,again; then,zài
因,reason,yīn
呢,how about…?; continuing p.,ne
女,female,nǚ
告,to tell,gào
